n_runs_total,n_overshoot_total,raw_per_run_wilson_lower,raw_per_run_wilson_upper,n_cells_total,n_cells_with_overshoot,pooled_per_cell_wilson_lower,pooled_per_cell_wilson_upper,hybrid_n,hybrid_k,hybrid_wilson_lower,hybrid_wilson_upper,file
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,tokencap_lang001_limit10000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,tokencap_lang001_limit2000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,tokencap_lang001_limit5000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,tokencap_lang001_limit540_n30.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_arg-hallucination_cap2000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_arg-hallucination_cap5000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_clarification_cap2000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_clarification_cap5000_n10.csv
30,0,0.0,0.1135133931739632,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_cap1000_n30.csv
30,0,0.0,0.1135133931739632,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_cap2000_n30.csv
30,0,0.0,0.1135133931739632,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_cap5000_n30.csv
30,0,0.0,0.1135133931739632,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_cap500_n30.csv
30,0,0.0,0.1135133931739632,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_cap540_n30.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,tokenizer_direct_lang001_T0.0_cap2000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,10,0,2.7755575615628914e-17,0.27753279986287815,tokenizer_direct_lang001_T0.3_cap2000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,10,0,2.7755575615628914e-17,0.27753279986287815,tokenizer_direct_lang001_T0.7_cap2000_n10.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,10,0,2.7755575615628914e-17,0.27753279986287815,tokenizer_direct_lang001_T1.0_cap2000_n10.csv
