idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
232,629100,158100,471000,10,261,5317,3.979127,false
233,631950,171450,460500,15,282,6339,3.685914,false
234,631650,26700,604950,14,41,3606,23.657303,false
235,630450,190500,439950,14,314,4687,3.309449,false
236,632700,27300,605400,14,42,1242,23.175824,false
237,631500,211800,419700,16,349,5285,2.981586,false
238,633900,11100,622800,22,13,1084,57.108108,false
239,631500,59700,571800,14,96,2260,10.577889,false
240,632100,41400,590700,16,65,1434,15.268116,false
241,634050,55350,578700,17,88,1851,11.455285,false
242,628950,144900,484050,10,239,2906,4.340580,false
243,631650,102150,529500,13,167,2930,6.183554,false
244,630900,52950,577950,13,85,2783,11.915014,false
245,631200,49950,581250,13,80,5944,12.636637,false
246,633450,26700,606750,14,41,1229,23.724719,false
247,633450,161400,472050,16,265,4349,3.924721,false
248,635400,13500,621900,22,17,1796,47.066667,false
249,631350,50100,581250,14,80,6561,12.601796,false
250,632100,30000,602100,16,46,1450,21.070000,false
251,633750,89550,544200,17,145,3184,7.077052,false
252,630150,133050,497100,11,219,4775,4.736189,false
253,632100,136950,495150,13,225,3900,4.615553,false
254,631800,66150,565650,13,107,3408,9.551020,false
255,631950,259800,372150,16,429,8476,2.432448,false
256,632700,37050,595650,15,58,2047,17.076923,false
257,634650,297000,337650,16,491,9499,2.136869,false
258,635550,14700,620850,22,19,1433,43.234694,false
259,631500,42150,589350,13,67,2459,14.982206,false
260,632100,37200,594900,16,58,1638,16.991935,false
261,632700,67800,564900,16,109,2520,9.331858,false
262,629100,150300,478800,10,248,5540,4.185629,false
263,631950,153450,478500,15,252,5647,4.118280,false
264,631650,28500,603150,14,44,1287,22.163158,false
265,630450,125700,504750,14,206,2883,5.015513,false
266,632700,24300,608400,14,37,1350,26.037037,false
267,631500,214800,416700,16,354,5995,2.939944,false
268,633900,22500,611400,22,32,1526,28.173333,false
269,631500,58500,573000,14,94,2466,10.794872,false
270,632100,40200,591900,16,63,1825,15.723881,false
271,634050,52350,581700,17,83,2510,12.111748,false
272,628950,149100,479850,10,246,2840,4.218310,false
273,631650,125550,506100,13,206,3155,5.031063,false
274,630900,96150,534750,13,157,3358,6.561622,false
275,631200,63750,567450,13,103,2819,9.901176,false
276,633450,29700,603750,14,46,1404,21.328283,false
277,633450,162000,471450,16,266,4652,3.910185,false
278,635400,12900,622500,22,16,901,49.255814,false
279,631350,42300,589050,14,67,1586,14.925532,false
280,632100,43800,588300,16,69,1844,14.431507,false
281,633750,97350,536400,17,158,4914,6.510015,false
282,630150,141450,488700,11,233,3929,4.454931,false
283,632100,96750,535350,13,158,3974,6.533333,false
284,631800,60750,571050,13,98,2364,10.400000,false
285,631950,230400,401550,16,380,7723,2.742839,false
286,632700,44250,588450,15,70,1876,14.298305,false
287,634650,232200,402450,16,383,7844,2.733204,false
288,635550,14700,620850,22,19,896,43.234694,false
289,631500,27750,603750,13,43,1355,22.756757,false
290,632100,35400,596700,16,55,1594,17.855932,false
291,632700,108000,524700,16,176,3371,5.858333,false
292,629100,191100,438000,10,316,7375,3.291994,false
293,631950,139050,492900,15,228,4501,4.544768,false
294,631650,35100,596550,14,55,2047,17.995726,false
295,630450,155100,475350,14,255,3278,4.064797,false
296,632700,26100,606600,14,40,1356,24.241379,false
297,631500,247200,384300,16,408,6423,2.554612,false
298,633900,32700,601200,22,49,2566,19.385321,false
299,631500,56700,574800,14,91,1804,11.137566,false
