class,idx,reservation_uc,actual_uc,margin_ratio,violated
tool_format,87,1207,551,2.190563,false
tool_format,88,1207,771,1.565499,false
tool_format,89,1207,471,2.562633,false
tool_format,90,1207,496,2.433468,false
tool_format,91,1207,561,2.151515,false
tool_format,92,1207,766,1.575718,false
tool_format,93,1207,711,1.697609,false
tool_format,94,1207,521,2.316699,false
tool_format,95,1207,636,1.897799,false
tool_format,96,1207,691,1.746744,false
tool_format,97,1207,551,2.190563,false
tool_format,98,1207,911,1.324918,false
tool_format,99,1207,551,2.190563,false
