idx,reservation_uc,actual_uc,refund_uc,input_tokens,output_tokens,latency_ms,margin_ratio
89,1127,496,631,16,96,1901,2.272177
90,1131,481,650,16,93,1643,2.351351
91,1144,958,186,18,188,2595,1.194154
92,1110,1010,100,10,200,2819,1.099010
93,1128,689,439,14,135,2270,1.637155
94,1123,628,495,13,123,1960,1.788217
95,1125,653,472,13,128,3547,1.722818
96,1140,264,876,14,50,1707,4.318182
97,1140,1017,123,17,200,3166,1.120944
98,1153,167,986,22,29,1166,6.904192
99,1126,496,630,16,96,1896,2.270161
100,1132,486,646,16,94,1646,2.329218
101,1142,1018,124,18,200,2889,1.121807
102,1118,1011,107,11,200,2385,1.105836
103,1131,963,168,13,190,2545,1.174455
104,1129,668,461,13,131,4015,1.690120
105,1130,1016,114,16,200,3047,1.112205
106,1135,425,710,15,82,1813,2.670588
107,1148,1017,131,17,200,2798,1.128810
108,1154,723,431,23,140,2159,1.596127
109,1127,479,648,14,93,2160,2.352818
110,1132,521,611,16,101,1699,2.172745
111,1135,1007,128,17,198,3071,1.127110
112,1111,1010,101,10,200,2897,1.100000
113,1130,1015,115,15,200,3744,1.113300
114,1128,304,824,14,58,1418,3.710526
115,1120,1015,105,15,200,2523,1.103448
116,1135,220,915,15,41,1195,5.159091
117,1127,1017,110,17,200,2555,1.108161
118,1143,528,615,23,101,1868,2.164773
119,1127,501,626,16,97,1868,2.249501
120,1132,436,696,16,84,1474,2.596330
121,1144,1018,126,18,200,2987,1.123772
122,1110,1010,100,10,200,2647,1.099010
123,1128,704,424,14,138,2162,1.602273
124,1123,683,440,13,134,2115,1.644217
125,1125,518,607,13,101,2085,2.171815
126,1140,269,871,14,51,2908,4.237918
127,1140,1017,123,17,200,3269,1.120944
128,1153,167,986,22,29,1047,6.904192
129,1126,371,755,16,71,1791,3.035040
130,1132,541,591,16,105,1658,2.092421
131,1142,1018,124,18,200,2103,1.121807
132,1118,1011,107,11,200,3128,1.105836
133,1131,1013,118,13,200,3149,1.116486
134,1129,958,171,13,189,2868,1.178497
135,1130,1016,114,16,200,2500,1.112205
136,1135,340,795,15,65,1769,3.338235
137,1148,1017,131,17,200,2633,1.128810
138,1154,743,411,23,144,2576,1.553163
139,1127,464,663,14,90,2424,2.428879
140,1132,451,681,16,87,1999,2.509978
141,1135,902,233,17,177,2796,1.258315
142,1111,1010,101,10,200,5235,1.100000
143,1130,1015,115,15,200,2744,1.113300
144,1128,449,679,14,87,1605,2.512249
145,1120,685,435,15,134,2374,1.635036
146,1135,235,900,15,44,1327,4.829787
147,1127,1017,110,17,200,2567,1.108161
148,1143,173,970,23,30,1191,6.606936
149,1127,576,551,16,112,2014,1.956597
150,1132,486,646,16,94,1736,2.329218
151,1144,828,316,18,162,2551,1.381643
152,1110,1010,100,10,200,2766,1.099010
153,1128,919,209,14,181,2523,1.227421
154,1123,558,565,13,109,1726,2.012545
155,1125,623,502,13,122,1985,1.805778
156,1140,344,796,14,66,1575,3.313953
157,1140,802,338,17,157,3033,1.421446
158,1153,167,986,22,29,1195,6.904192
159,1126,421,705,16,81,1761,2.674584
160,1132,516,616,16,100,1747,2.193798
161,1142,1018,124,18,200,2885,1.121807
162,1118,1011,107,11,200,2340,1.105836
163,1131,1013,118,13,200,2867,1.116486
164,1129,668,461,13,131,5123,1.690120
165,1130,1016,114,16,200,2563,1.112205
166,1135,420,715,15,81,1712,2.702381
167,1148,1017,131,17,200,2492,1.128810
168,1154,743,411,23,144,2238,1.553163
169,1127,509,618,14,99,2421,2.214145
170,1132,556,576,16,108,3684,2.035971
171,1135,912,223,17,179,3164,1.244518
172,1111,1010,101,10,200,3857,1.100000
173,1130,1015,115,15,200,4360,1.113300
174,1128,254,874,14,48,1220,4.440945
175,1120,1015,105,15,200,3268,1.103448
176,1135,230,905,15,43,1531,4.934783
177,1127,1017,110,17,200,2660,1.108161
178,1143,173,970,23,30,1053,6.606936
179,1127,486,641,16,94,1796,2.318930
180,1132,511,621,16,99,1732,2.215264
181,1144,893,251,18,175,3094,1.281075
182,1110,1010,100,10,200,2749,1.099010
183,1128,594,534,14,116,1962,1.898990
184,1123,658,465,13,129,1956,1.706687
185,1125,653,472,13,128,1957,1.722818
186,1140,549,591,14,107,2260,2.076503
187,1140,972,168,17,191,2841,1.172840
188,1153,167,986,22,29,1038,6.904192
189,1126,386,740,16,74,1701,2.917098
190,1132,506,626,16,98,1821,2.237154
191,1142,1018,124,18,200,5454,1.121807
192,1118,1011,107,11,200,2297,1.105836
193,1131,983,148,13,194,3060,1.150560
194,1129,918,211,13,181,3210,1.229847
195,1130,1016,114,16,200,2919,1.112205
196,1135,365,770,15,70,1438,3.109589
197,1148,1017,131,17,200,2784,1.128810
198,1154,723,431,23,140,2725,1.596127
199,1127,369,758,14,71,1421,3.054201
200,1130,431,699,16,83,1568,2.621810
201,1135,962,173,17,189,2506,1.179834
202,1111,1010,101,10,200,2937,1.100000
203,1130,1015,115,15,200,3089,1.113300
