idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
151,1144000,1018000,126000,18,200,3153,1.123772,true
152,1110000,1010000,100000,10,200,2890,1.099010,true
153,1128000,784000,344000,14,154,2422,1.438776,false
154,1123000,648000,475000,13,127,1961,1.733025,false
155,1125000,618000,507000,13,121,2197,1.820388,false
156,1140000,309000,831000,14,59,1538,3.689320,false
157,1140000,1017000,123000,17,200,2844,1.120944,true
158,1153000,167000,986000,22,29,1311,6.904192,false
159,1126000,371000,755000,16,71,2124,3.035040,false
160,1132000,426000,706000,16,82,1641,2.657277,false
161,1142000,1018000,124000,18,200,2353,1.121807,true
162,1118000,1011000,107000,11,200,2764,1.105836,true
163,1131000,1013000,118000,13,200,3780,1.116486,true
164,1129000,713000,416000,13,140,2774,1.583450,false
165,1130000,1016000,114000,16,200,2591,1.112205,true
166,1135000,325000,810000,15,62,1366,3.492308,false
167,1148000,1017000,131000,17,200,2596,1.128810,true
168,1154000,683000,471000,23,132,2110,1.689605,false
169,1127000,409000,718000,14,79,1986,2.755501,false
170,1132000,611000,521000,16,119,2048,1.852700,false
171,1135000,1017000,118000,17,200,3354,1.116028,true
172,1111000,1010000,101000,10,200,3109,1.100000,true
173,1130000,1015000,115000,15,200,2706,1.113300,true
174,1128000,284000,844000,14,54,1295,3.971831,false
175,1120000,1015000,105000,15,200,3050,1.103448,true
176,1135000,260000,875000,15,49,2050,4.365385,false
177,1127000,1017000,110000,17,200,2663,1.108161,true
178,1143000,173000,970000,23,30,1290,6.606936,false
179,1127000,491000,636000,16,95,1633,2.295316,false
180,1132000,536000,596000,16,104,2113,2.111940,false
181,1144000,1018000,126000,18,200,3138,1.123772,true
182,1110000,1010000,100000,10,200,2846,1.099010,true
183,1128000,689000,439000,14,135,2458,1.637155,false
184,1123000,578000,545000,13,113,2048,1.942907,false
185,1125000,588000,537000,13,115,2179,1.913265,false
186,1140000,234000,906000,14,44,1504,4.871795,false
187,1140000,1017000,123000,17,200,3096,1.120944,true
188,1153000,167000,986000,22,29,1615,6.904192,false
189,1126000,416000,710000,16,80,2866,2.706731,false
190,1132000,526000,606000,16,102,2049,2.152091,false
191,1142000,1018000,124000,18,200,2639,1.121807,true
192,1118000,1011000,107000,11,200,2686,1.105836,true
193,1131000,1013000,118000,13,200,2806,1.116486,true
194,1129000,733000,396000,13,144,2520,1.540246,false
195,1130000,1016000,114000,16,200,3276,1.112205,true
196,1135000,455000,680000,15,88,1844,2.494505,false
197,1148000,1017000,131000,17,200,3155,1.128810,true
198,1154000,718000,436000,23,139,2875,1.607242,false
199,1127000,394000,733000,14,76,2354,2.860406,false
200,1130000,381000,749000,16,73,1330,2.965879,false
201,1135000,1017000,118000,17,200,2969,1.116028,true
202,1111000,1010000,101000,10,200,2829,1.100000,true
203,1130000,1015000,115000,15,200,2623,1.113300,true
204,1128000,264000,864000,14,50,1228,4.272727,false
205,1120000,1015000,105000,15,200,2784,1.103448,true
206,1135000,255000,880000,15,48,2179,4.450980,false
207,1127000,1017000,110000,17,200,2465,1.108161,true
208,1143000,173000,970000,23,30,1419,6.606936,false
209,1127000,486000,641000,16,94,2049,2.318930,false
210,1131000,276000,855000,16,52,1438,4.097826,false
211,1144000,733000,411000,18,143,3155,1.560709,false
212,1110000,1010000,100000,10,200,2604,1.099010,true
213,1128000,789000,339000,14,155,2837,1.429658,false
214,1123000,648000,475000,13,127,2457,1.733025,false
215,1125000,638000,487000,13,125,2805,1.763323,false
216,1140000,219000,921000,14,41,1284,5.205479,false
217,1140000,1017000,123000,17,200,3284,1.120944,true
218,1153000,167000,986000,22,29,1229,6.904192,false
219,1126000,431000,695000,16,83,1739,2.612529,false
220,1131000,546000,585000,16,106,1948,2.071429,false
221,1142000,1018000,124000,18,200,3276,1.121807,true
222,1118000,1011000,107000,11,200,3278,1.105836,true
223,1131000,1013000,118000,13,200,3483,1.116486,true
224,1129000,953000,176000,13,188,3071,1.184680,false
225,1130000,1016000,114000,16,200,2563,1.112205,true
